Year,CONS,INV,GOV,X,IM,Y,TAX,WB,YD,Hh,Hs,Bs,Bh,NVh,Rb,Bcb,Bcb
1995,815945,198068,172298,243824,207651,988243,212456,353786,839948,42951,42951,507396,464445,507396,0.086177341,42951,42951
1996,861627,202429,184246,247921,200535,1045873,217179.527,378499,868718.1081,43739,43739,514487.1081,470748.1081,514487.1081,0.091749554,43739,43739
1997,899199,213028,193160,263802,223262,1092359,227109.9858,397066,908439.9432,46923,46923,523728.0513,476805.0513,523728.0513,0.075787064,46923,46923
1998,939233,224747,199624,274042,239497,1138857,234998.531,395312,939994.1239,50305,50305,524489.1752,474184.1752,524489.1752,0.066758091,50305,50305
1999,968945,237770,206206,272643,251716,1175151,241361.3261,410340,965445.3043,56333,56333,520989.4795,464656.4795,520989.4795,0.055196262,56333,56333
2000,1021318,259037,220195,318172,307621,1241513,253432.0602,427487,1013728.241,59394,59394,513399.7201,454005.7201,513399.7201,0.054511407,59394,59394
2001,1064179,271825,239959,334498,318022,1304138,265777.2981,451041,1063109.192,49167,49167,512329.9126,463162.9126,512329.9126,0.055538922,49167,49167
2002,1099840,291267,250419,329564,319342,1350259,275196.5138,470108,1100786.055,53408,53408,513275.9677,459867.9677,513275.9677,0.04940057,53408,53408
2003,1130044,295388,264649,324994,318642,1394693,283482.1479,490889,1133928.592,64267,64267,517160.5595,452893.5595,517160.5595,0.046025005,64267,64267
2004,1174064,308799,278255,348699,340141,1452319,294632.6857,509540,1178530.743,76070,76070,521627.3021,445557.3021,521627.3021,0.043894897,76070,76070
2005,1200666,316194,292969,367451,368928,1493635,302638.5384,531929,1210554.154,89146,89146,531515.4557,442369.4557,531515.4557,0.042261228,89146,89146
2006,1250165,340933,302522,406392,419143,1552687,314276.4153,555830,1257105.661,103968,103968,538456.1168,434488.1168,538456.1168,0.041212401,103968,103968
2007,1307574,359238,307266,441837,447317,1614840,326549.2597,576340,1306197.039,112983,112983,537079.1556,424096.1556,537079.1556,0.044067272,112983,112983
2008,1317366,356666,320333,439932,452498,1637699,331277.5521,595572,1325110.209,123257,123257,544823.3641,421566.3641,544823.3641,0.045706963,123257,123257
2009,1251101,307703,326155,353292,363078,1577256,319304.9036,590431,1277219.615,129192,129192,570941.9787,441749.9787,570941.9787,0.038157551,129192,129192
2010,1280114,331599,331166,404013,433952,1611280,325627.2195,599034,1302508.878,133437,133437,593336.8565,459899.8565,593336.8565,0.036033224,133437,133437
2011,1322039,337468,326718,443061,466151,1648757,333065.7349,608088,1332262.94,141838,141838,603560.7962,461722.7962,603560.7962,0.038114264,141838,141838
2012,1302605,288966,321754,460981,443052,1624359,328391.4449,600264,1313565.78,137756,137756,614521.5758,476765.5758,614521.5758,0.040955894,137756,137756
2013,1293311,272433,319441,461783,423095,1612752,326455.6721,594339,1305822.688,139992,139992,627033.2641,487041.2641,627033.2641,0.036395019,139992,139992
2014,1309427,275995,317979,473719,426597,1627406,329026.3752,595991,1316105.501,141353,141353,633711.765,492358.765,633711.765,0.033408732,141353,141353
2015,1339011,283186,316344,491905,442016,1655355,334360.8164,609506,1337443.266,144595,144595,632144.0306,487549.0306,632144.0306,0.029554695,144595,144595
2016,1373138,297798,322650,497339,441578,1695788,342039.4726,625000,1368157.89,150624,150624,627163.9209,476539.9209,627163.9209,0.028319924,150624,150624
2017,1409591,313526,327002,533720,483997,1736593,350017.7149,642230,1400070.859,155752,155752,617643.7804,461891.7804,617643.7804,0.027309766,155752,155752
2018,1436937,328194,334454,555394,512818,1771391,356801.0313,665490,1427204.125,162421,162421,607910.9055,445489.9055,607910.9055,0.026346512,162421,162421
2019,1462136,327703,334512,567784,508031,1796648,361677.021,681104,1446708.084,165890,165890,592482.9897,426592.9897,592482.9897,0.023887824,165890,165890
2020,1317041,293530,343580,488941,429156,1660621,334162.2757,642972,1336649.103,185433,185433,612091.0923,426658.0923,612091.0923,0.022529526,185433,185433
2021,1429333,357215,352718,582192,540198,1782051,358332.6809,692915,1433330.724,200683,200683,616088.8159,415405.8159,616088.8159,0.023582902,200683,200683
